model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_with_residual_connection,gaussian,0.2,17,0,0.0,113,3,0.02654867256637168
best_with_residual_connection,gaussian,0.3,17,0,0.0,113,3,0.02654867256637168
best_with_residual_connection,gaussian,0.4,17,0,0.0,113,2,0.017699115044247787
best_with_residual_connection,bim,0.01,17,15,0.8823529411764706,113,111,0.9823008849557522
best_with_residual_connection,bim,0.05,17,16,0.9411764705882353,113,112,0.9911504424778761
best_with_residual_connection,bim,0.1,17,16,0.9411764705882353,113,112,0.9911504424778761
best_with_residual_connection,ifgs,0.7,17,10,0.5882352941176471,113,102,0.9026548672566371
best_with_residual_connection,ifgs,0.8,17,6,0.35294117647058826,113,91,0.8053097345132744
best_with_residual_connection,ifgs,0.9,17,1,0.058823529411764705,113,71,0.6283185840707964
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=0.5,17,16,0.9411764705882353,113,112,0.9911504424778761
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=1.0,17,14,0.8235294117647058,113,110,0.9734513274336283
best_with_residual_connection,smooth_fgsm,sigma=1.5_epsilon=1.0,17,14,0.8235294117647058,113,110,0.9734513274336283
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=1.5,17,14,0.8235294117647058,113,110,0.9734513274336283
best_enhanced_augmentation,fgsm,0.1,17,16,0.9411764705882353,113,112,0.9911504424778761
best_enhanced_augmentation,fgsm,0.5,17,15,0.8823529411764706,113,111,0.9823008849557522
best_enhanced_augmentation,fgsm,1.0,17,9,0.5294117647058824,113,101,0.8938053097345132
best_enhanced_augmentation,fgsm,2.0,17,0,0.0,113,56,0.49557522123893805
best_enhanced_augmentation,gaussian,0.1,17,0,0.0,113,12,0.10619469026548672
best_enhanced_augmentation,gaussian,0.2,17,0,0.0,113,5,0.04424778761061947
best_enhanced_augmentation,gaussian,0.3,17,0,0.0,113,7,0.061946902654867256
best_enhanced_augmentation,gaussian,0.4,17,0,0.0,113,4,0.035398230088495575
best_enhanced_augmentation,bim,0.01,17,16,0.9411764705882353,113,112,0.9911504424778761
best_enhanced_augmentation,bim,0.05,17,14,0.8235294117647058,113,110,0.9734513274336283
best_enhanced_augmentation,bim,0.1,17,9,0.5294117647058824,113,100,0.8849557522123894
best_enhanced_augmentation,ifgs,0.7,17,4,0.23529411764705882,113,85,0.7522123893805309
best_enhanced_augmentation,ifgs,0.8,17,2,0.11764705882352941,113,59,0.5221238938053098
best_enhanced_augmentation,ifgs,0.9,17,1,0.058823529411764705,113,38,0.336283185840708
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=0.5,17,14,0.8235294117647058,113,110,0.9734513274336283
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=1.0,17,12,0.7058823529411765,113,103,0.911504424778761
best_enhanced_augmentation,smooth_fgsm,sigma=1.5_epsilon=1.0,17,12,0.7058823529411765,113,107,0.9469026548672567
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=1.5,17,7,0.4117647058823529,113,88,0.7787610619469026
best_robust_model,fgsm,0.1,17,16,0.9411764705882353,113,112,0.9911504424778761
best_robust_model,fgsm,0.5,17,16,0.9411764705882353,113,112,0.9911504424778761
best_robust_model,fgsm,1.0,17,17,1.0,113,113,1.0
best_robust_model,fgsm,2.0,17,14,0.8235294117647058,113,110,0.9734513274336283
